# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myChunk[1] c_myChunk[2] c_myChunk[3] c_myChunk[4]
10000 729
125 6.64816 16.2259 2.49951 25.3736
126 2.76208 17.1653 2.61095 22.5383
127 5.80613 1.30312 13.7396 20.8489
128 4.24193 2.31342 11.1848 17.7401
129 0.726713 2.22626 0.866014 3.81899
130 2.52906 1.33011 6.84283 10.702
131 5.29697 9.15067 9.97514 24.4228
132 22.0291 1.03565 7.89006 30.9548
133 0.993681 9.16744 15.8525 26.0137
134 5.36097 1.04923 1.46082 7.87102
135 1.64816 1.15818 14.0448 16.8511
136 5.80784 10.3302 2.32865 18.4666
137 23.7841 5.75271 0.949687 30.4865
138 7.15106 10.7048 5.07712 22.9329
139 0.651452 7.96228 6.8026 15.4163
140 0.872896 17.5808 8.83116 27.2849
141 3.49767 4.24969 2.97304 10.7204
142 1.72613 5.72705 1.33156 8.78475
143 1.36338 9.22404 2.60257 13.19
144 1.83709 1.24482 1.4228 4.50471
145 4.06213 8.20219 1.30541 13.5697
146 15.547 0.405247 1.29332 17.2456
147 5.56234 6.46687 7.22926 19.2585
148 12.127 15.3952 4.57027 32.0925
149 7.51408 6.47645 4.84802 18.8385
150 7.22475 16.0447 3.41333 26.6827
151 7.94794 7.11379 3.55745 18.6192
152 1.9576 1.68945 3.87237 7.51942
153 10.3463 1.42296 2.50247 14.2717
154 12.4086 10.6063 1.83075 24.8456
155 1.46442 29.0852 7.37807 37.9277
156 3.26572 1.90546 4.15483 9.326
157 6.88593 14.6599 3.72849 25.2744
158 61.7749 3.39566 3.61185 68.7824
159 3.3785 25.9732 3.28667 32.6384
160 3.07916 1.89906 1.94746 6.92568
161 32.119 4.71505 16.3611 53.1951
162 0.512558 5.14541 6.67854 12.3365
163 20.0636 31.3156 2.15775 53.5369
164 2.02607 1.66558 2.10948 5.80114
165 4.02579 1.89204 9.13129 15.0491
166 2.55528 2.34733 27.5065 32.4091
167 1.88955 1.7764 3.38421 7.05017
168 6.10507 2.62393 12.5028 21.2318
169 12.1196 4.94742 9.69831 26.7653
170 27.5506 6.88667 12.556 46.9932
171 0.997244 0.840549 1.67223 3.51002
172 23.2888 22.4326 4.57177 50.2932
173 0.92855 1.89015 25.7828 28.6015
174 1.45346 3.25195 4.96613 9.67154
175 2.20062 9.69225 19.0586 30.9514
176 21.3959 4.48304 3.89721 29.7762
177 4.99214 32.7658 11.7701 49.5281
178 33.2005 4.97111 3.29535 41.467
179 2.71132 4.26284 29.0826 36.0568
180 8.68839 0.30353 3.3056 12.2975
181 1.65155 8.03556 19.347 29.0341
182 4.2229 7.45686 28.2886 39.9684
183 5.88072 6.5442 1.12075 13.5457
184 5.92168 1.16201 26.6678 33.7515
185 5.60072 18.6874 3.01216 27.3003
186 19.1227 6.74177 1.47496 27.3394
187 2.29658 3.44381 6.3045 12.0449
188 7.34819 0.803174 0.486366 8.63773
189 1.53284 1.50119 9.02398 12.058
190 16.1441 4.92287 2.11129 23.1782
191 2.99006 13.9593 1.7012 18.6506
192 17.2603 5.43665 4.13888 26.8359
193 13.1106 1.29486 2.65209 17.0576
194 3.47648 1.02375 50.3293 54.8296
195 5.2501 3.05514 10.2457 18.5509
196 11.2731 1.88718 15.0038 28.1641
197 10.1509 3.47202 4.63747 18.2603
198 7.56774 2.16806 3.58382 13.3196
199 7.68558 13.0805 7.99483 28.7609
200 1.23823 2.93681 31.47 35.645
201 5.01853 2.95704 25.9088 33.8844
202 4.35664 4.16679 3.2749 11.7983
203 3.74563 2.02858 14.5565 20.3307
204 8.80312 1.70447 2.67971 13.1873
205 9.35531 1.57591 21.2136 32.1449
206 8.02047 2.97254 0.830687 11.8237
207 3.30912 0.69244 28.4704 32.472
208 2.41983 8.83882 0.859551 12.1182
209 2.74045 3.36897 11.4778 17.5872
210 58.6714 5.63112 2.75153 67.0541
211 17.1947 10.7371 4.25351 32.1853
212 3.15093 1.07668 12.8474 17.075
213 0.568012 0.570413 20.1898 21.3282
214 5.57485 1.74124 3.10971 10.4258
215 1.72219 6.33206 1.66691 9.72116
216 3.86184 2.46947 1.03986 7.37116
217 8.85327 1.51321 0.739287 11.1058
218 6.00516 39.6812 13.2127 58.8991
219 1.60234 8.58123 2.85696 13.0405
220 13.3298 1.30538 3.49699 18.1322
221 2.74426 0.484567 2.1449 5.37374
222 9.12457 3.32444 2.22892 14.6779
223 0.489257 3.27966 22.0701 25.839
224 3.88906 4.57819 4.82632 13.2936
225 2.86187 16.777 4.09168 23.7306
226 15.0012 12.28 3.43558 30.7168
227 1.97709 2.06403 6.76354 10.8047
228 1.75165 19.2808 2.91291 23.9454
229 0.8749 8.31808 2.39004 11.583
230 3.72166 2.19191 1.66601 7.57958
231 7.00193 12.7922 10.5315 30.3256
232 3.64508 8.50022 0.766216 12.9115
233 26.2869 2.42566 7.79035 36.5029
234 2.85067 12.6643 2.88016 18.3951
235 5.33578 9.50923 5.9655 20.8105
236 6.9885 3.49804 8.67407 19.1606
237 13.976 2.00596 10.9119 26.8938
238 6.28774 7.91665 1.42033 15.6247
239 1.7491 8.87237 3.84504 14.4665
240 0.975612 2.01654 4.45971 7.45185
