Q,I_Q
0.2246795820589612,0.18948792
0.299304445261821,-0.23856801
0.3739293084646807,-0.22015297
0.4485541716675404,-0.08606686
0.5231790348704002,-0.03678167
0.59780389807326,-0.063186355
0.6724287612761197,-0.09120479
0.7470536244789794,-0.09467778
0.8216784876818392,-0.0879576
0.8963033508846989,-0.08320329
0.9709282140875587,-0.08099043
1.0455530772904185,-0.08058792
1.1201779404932781,-0.08250543
1.1948028036961378,-0.085156046
1.2694276668989977,-0.08570435
1.3440525301018575,-0.083672635
1.418677393304717,-0.081422165
1.4933022565075769,-0.08112032
1.5679271197104367,-0.08235664
1.6425519829132962,-0.083132535
1.717176846116156,-0.0824092
1.791801709319016,-0.08081156
1.8664265725218754,-0.07924631
1.9410514357247353,-0.077859096
2.015676298927595,-0.07628669
2.0903011621304546,-0.07410631
2.1649260253333145,-0.07095922
2.2395508885361743,-0.06673511
2.314175751739034,-0.061645012
2.3888006149418937,-0.055855192
2.4634254781447535,-0.049189154
2.538050341347613,-0.041372843
2.612675204550473,-0.032409076
2.6873000677533327,-0.02260328
2.761924930956192,-0.012345483
2.836549794159052,-0.0018943509
2.911174657361912,0.008577008
2.9857995205647714,0.01842629
3.0604243837676313,0.026069872
3.135049246970491,0.029794144
3.209674110173351,0.029478798
3.2842989733762105,0.026930915
3.3589238365790703,0.024003701
3.4335486997819302,0.020970412
3.5081735629847897,0.01728212
3.5827984261876495,0.013126654
3.6574232893905094,0.0092822965
3.732048152593369,0.005932109
3.8066730157962287,0.002660762
3.8812978789990886,-0.00052203314
3.955922742201948,-0.0029481945
4.030547605404808,-0.0040537273
4.105172468607668,-0.0038892324
4.179797331810527,-0.0029608086
4.254422195013388,-0.0018242613
4.329047058216247,-0.000607735
4.4036719214191065,0.0012094205
4.478296784621967,0.0042023025
4.552921647824826,0.008116087
4.627546511027686,0.012029649
4.702171374230546,0.015489345
4.776796237433405,0.018993827
4.851421100636265,0.02319426
4.926045963839125,0.027993584
5.000670827041985,0.03258975
5.075295690244844,0.036169223
5.149920553447704,0.03847874
5.224545416650564,0.03985225
5.299170279853423,0.040695287
